,,,,,,,,,,,,,,,,,Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.FrappeApi.getAccessTokenExtractor(),0,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Protected Method,com.github.scribejava.apis.FrappeApi.getAuthorizationBaseUrl(),1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.FrappeApi.getServerURL(),1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.FrappeApi.instance(String),2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Protected Constructor,com.github.scribejava.apis.FreelancerApi.FreelancerApi(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Private Constructor,com.github.scribejava.apis.FreelancerApi.Sandbox.Sandbox(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.FreelancerApi.Sandbox.getAccessTokenEndpoint(),0,3,0,3,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.33
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.FreelancerApi.Sandbox.getAuthorizationBaseUrl(),1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.FreelancerApi.Sandbox.getRequestTokenEndpoint(),0,3,0,3,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.33
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.FreelancerApi.Sandbox.instance(),2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.FreelancerApi.getAccessTokenEndpoint(),0,3,0,3,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.33
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.FreelancerApi.getAccessTokenVerb(),1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.FreelancerApi.getAuthorizationBaseUrl(),1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.FreelancerApi.getRequestTokenEndpoint(),0,3,0,3,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.33
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.FreelancerApi.getRequestTokenVerb(),1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.FreelancerApi.getSignatureType(),1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.FreelancerApi.instance(),1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Protected Constructor,com.github.scribejava.apis.GeniusApi.GeniusApi(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.GeniusApi.getAccessTokenEndpoint(),0,3,0,3,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.33
,,,,,,,,,,,,,,,,,Protected Method,com.github.scribejava.apis.GeniusApi.getAuthorizationBaseUrl(),0,3,0,3,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.33
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.GeniusApi.instance(),2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Protected Constructor,com.github.scribejava.apis.GitHubApi.GitHubApi(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
